"c11","c12","c13","c14","lable"
0.375831864369356,0.646604005540977,0.521729358906845,0.443471976815096,3
0.210092414506568,0.016684695134328,0.056909435113195,0.181252654722452,1
0.441655165306642,0.596632849455877,0.354305289047411,0.55854727528187,3
0.00896582427113748,0.0535265564331657,0.0425042482768886,0.182983437803606,1
0.00150867588381313,0.16082190640713,0.140210691576391,0.194358252232387,1
0.382985971488051,0.58146115129046,0.442489107231321,0.561853811573508,3
0.846661858035385,0.854416761149232,0.981684458559433,0.646522537000807,2
0.0308910103394122,0.0798168900026938,0.160644163168944,0.335432270251871,1
0.383586160429451,0.519674753508163,0.388361930102161,0.605537006494678,3
0.642412080771062,0.503108672520225,0.489381502068197,0.540419606756236,3
0.706008475006906,0.820797771748113,0.953041875073669,0.667141325931802,2
0.892820723493925,0.872726882587604,0.958270141393873,0.738197294016241,2
0.512121283128185,0.527732220487083,0.221778296481327,0.559740099728485,3
0.0350821897265075,0.10923656786072,0.116108503158006,0.228600262619247,1
0.346362551966718,0.616265354515813,0.439761092111289,0.431751920396009,3
0.511212383312127,0.533196048404961,0.481117788179098,0.419582952148729,3
0.519892725176554,0.501547241588376,0.549186201894384,0.763024052088349,3
0.731503128090118,0.45789356743057,0.64823796737091,0.522243892373634,3
0.866652124157461,0.811988592307452,0.969896647699879,0.771598899712217,2
0.0259552583665579,0.0511025685494414,0.125237052931144,0.249294885494813,1
0.705625457251354,0.425837449742884,0.640728223866409,0.478081268196427,3
0.649881152926801,0.429310937343975,0.494732256688436,0.50928318653595,3
0.460735122855252,0.467021017651201,0.479481563623339,0.626652775582994,3
0.0222719497015769,0.0230670938925107,0.104669171219239,0.273279781758082,1
0.0147570222043747,0.199721387134029,0.110156454118849,0.162046995151038,1
0.0338857346177691,0.101890645162872,0.186253525390153,0.101505661531111,1
0.16660712813667,0.18180788259767,0.157599356131927,0.158431366240237,1
0.368006428246263,0.589390252911574,0.512080512928577,0.61557326695355,3
0.59561069411352,0.50912184731559,0.395878299486433,0.517404070879388,3
0.533776792589339,0.323285346401909,0.455215892650623,0.514061051858421,3
0.3032615810147,0.550656881933041,0.528283538001483,0.389402831007982,3
0.303792230621539,0.486681788192748,0.545015575657564,0.411404894882188,3
0.274541915419939,0.323582776460041,0.369150496448204,0.518343043400852,3
0.861293820517329,0.757521335624814,0.95583595030898,0.68398070075102,2
0.610523847194734,0.537694959875322,0.418522048074503,0.41065388381867,3
0.423356890263033,0.541588753401059,0.326852009330088,0.50742838528558,3
0.601434957792005,0.486539924437204,0.541260125392961,0.552607683016626,3
0.466513886920897,0.454140240172618,0.458232226075291,0.396195735289947,3
0.392227724962758,0.608608467731593,0.488900540622613,0.534592903635623,3
0.651668378782798,0.594263521216839,0.572311894787565,0.384655763651589,3
0.217619982513952,0.0812499540264095,0.270974839125053,0.219199218531681,1
0.481495400858262,0.292646255457784,0.45005388715788,0.549694238578612,3
0.484985634102521,0.508802903384112,0.508085047656466,0.369943191059455,3
0.0414933439134877,0.166604067890971,0.120433967367409,0.117242062628194,1
0.13438390035915,0.116552177695768,0.120517128210838,0.382960930850193,1
0.335359215931018,0.20840837254781,0.359220182851688,0.562294917161862,3
0.366421933572743,0.569402298956836,0.555580427969323,0.512253154749715,3
0.465604862787802,0.604709863537956,0.747675930233687,0.476356248732221,3
0.629606099674815,0.680331615723808,0.305805949608736,0.626609799727566,3
0.00475332007946052,0.0961211032519641,0.113077726178087,0.161773133365712,1
0.752269849439851,0.56697378967832,0.446374555136957,0.511251068538727,3
0.47898978596899,0.520446671146987,0.387870158943603,0.569403228939446,3
0.509320581940735,0.458610274832076,0.423384168794826,0.656460617209777,3
0.463189317920006,0.468729419786358,0.713395742575109,0.380764869456813,3
0.172929214222726,0.0662338708421861,0.0994474979828196,0.113865922321753,1
0.386435552891615,0.575207098734592,0.345061648827682,0.536140930330616,3
0.480610755004041,0.606014646062033,0.378285972550673,0.57134470712259,3
0.586889794252578,0.420335608421128,0.544301581965913,0.570556503300516,3
0.00987349889740586,0.0115165283322484,0.0345646642682635,0.0757065369565165,1
0.906362248306861,0.845778446278401,0.917510543172119,0.770548177655806,2
0.0124001703093596,0.107074960968893,0.338671311301873,0.209309317078278,1
0.374366957752025,0.7955335973258,0.303440294011908,0.528250640381305,3
0.320769425570715,0.466331871879247,0.410632816254213,0.553326142097213,3
0.499899824504969,0.555668275713949,0.688254758049232,0.513876978628807,3
0.022399314335831,0.171219620046232,0.21038733762002,0.220899960016202,1
0.936547425782682,0.827980052984927,0.945178992492252,0.673704895630284,2
0.101780737766386,0.0535313064972685,0.150524053184139,0.300080574159537,1
0.341802894780308,0.563382049297387,0.552679093436732,0.43829391799551,3
0.389292886408128,0.579623651349362,0.52093685705216,0.393584635337873,3
0.0560039570554238,0.129504027535339,0.127511203484779,0.205450914998125,1
0.0132298840738131,0.0330964839618717,0.0947667694429433,0.217858697522741,1
0.521009512139126,0.565271734873836,0.50227553720923,0.583583507324489,3
0.454957351615361,0.61241418894739,0.547479310486465,0.453274029620623,3
0.0376938022724241,0.130672516182012,0.261440848190082,0.275507135621154,1
0.0424263703666842,0.0877382718612589,0.0479503614994045,0.0847583981812261,1
0.0289055506112578,0.105064883663809,0.165427067817986,0.155527764362579,1
0.00935214884682734,0.0187373471702854,0.14484559046726,0.247827865272473,1
0.0235134264209873,0.0581659096742471,0.0389205296973758,0.332086568351004,1
0.0504085725863403,0.067583370827376,0.166762164753305,0.178946180371969,1
0.656002832847545,0.652994743391373,0.352270954319152,0.51078890456881,3
0.354266828044492,0.476072547843715,0.326456084887651,0.488083534905875,3
0.36005616281096,0.470660864394644,0.341934205388936,0.362139560097105,3
